Country,Date
AUSTRALIA,7-Jun-71
AUSTRIA,29-Sep-61
BELGIUM,13-Sep-61
CANADA,10-Apr-61
CHILE,7-May-10
COLOMBIA,28-Apr-20
COSTA RICA,25-May-21
CZECH REPUBLIC,21-Dec-95
DENMARK,30-May-61
ESTONIA,9-Dec-10
FINLAND,28-Jan-69
FRANCE,7-Aug-61
GERMANY,27-Sep-61
GREECE,27-Sep-61
HUNGARY,7-May-96
ICELAND,5-Jun-61
IRELAND,17-Aug-61
ISRAEL,7-Sep-10
ITALY,29-Mar-62
JAPAN,28-Apr-64
KOREA,12-Dec-96
LATVIA,1-Jul-16
LITHUANIA,5-Jul-18
LUXEMBOURG,7-Dec-61
MEXICO,18-May-94
NETHERLANDS,13-Nov-61
NEW ZEALAND,29-May-73
NORWAY,4-Jul-61
POLAND,22-Nov-96
PORTUGAL,4-Aug-61
SLOVAK REPUBLIC,14-Dec-00
SLOVENIA,21-Jul-10
SPAIN,3-Aug-61
SWEDEN,28-Sep-61
SWITZERLAND,28-Sep-61
TURKEY,2-Aug-61
UNITED KINGDOM,2-May-61
UNITED STATES,12-Apr-61
